Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
0,27934,Nice room with superb city view,120437,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,2020-01-06,0.5,2,353,0
12,55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,Sathon,13.71802,100.51539,Hotel room,1862,2,208,2019-12-02,1.44,7,361,0
14,959254,"Deluxe Condo, Nana, Pool/GYM/Sauna",5153476,Natcha,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,,0.0,1,365,0
16,1791481,Nice and Quiet condo near BTS Onnut,9399478,Piyakorn,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,2019-05-31,0.78,1,330,0
22,965722,Siamese Gioia on Sukhumvit 31,5265861,Chuchart,Vadhana,13.74444,100.57003,Private room,3775,30,3,2018-12-24,0.05,1,364,0
23,1808600,Contemporary Modern Duplex-Thong Lo,9478184,Shine,Khlong Toei,13.72097,100.57823,Entire home/apt,2078,60,83,2018-09-12,0.75,1,55,0
24,118118,Pan Dao Condo 5 min from BTS On Nut,596463,Dustin,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,3,2013-10-09,0.02,1,364,0
25,1816517,1 BR condominium center BKK +NETFLIX+55SQM,8492603,Sudhichai,Ratchathewi,13.75351,100.53308,Entire home/apt,2000,27,76,2018-04-05,0.7,1,263,0
26,969792,1 penthouse in central Bangkok,5297436,Anya,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,0,,0.0,1,365,0
32,159854,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,766443,Gerd,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,2022-12-08,1.58,3,207,7
36,169285,Stay at the ROARING RATCHADA!,806600,Frances,Huai Khwang,13.78118,100.58349,Private room,1316,1,0,,0.0,1,365,0
37,978969,"60 m2 apartment in Thong Lor, Bangkok",5358785,Danny,Vadhana,13.73224,100.57803,Entire home/apt,1870,4,5,2019-11-10,0.05,1,331,0
39,169514,2br apt in Sukhumvit Asoke near BTS,729617,Kanchuya,Vadhana,13.74464,100.55784,Entire home/apt,1732,90,0,,0.0,1,365,0
40,1849029,Self catering cozy1-bed near BTS,9652914,Jirasak,Vadhana,13.7137,100.59637,Entire home/apt,1300,30,7,2018-12-18,0.06,1,365,0
41,1862089,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,2022-12-07,3.77,37,355,1
42,985743,Room with city view of BKK,5309669,Apiradee,Sathon,13.71803,100.54654,Private room,3500,3,0,,0.0,3,363,0
46,1862331,☞✪✪✪✪Roomy Studio 4 Family r friends✪No Stairs✪✪✪✪,8214044,Evan From Sanctuary House,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,2022-12-15,2.59,8,350,7
50,1888303,Cozy 1BR rooftop (BTS Ploenchit) heart of bangkok,9821998,Pichanee,Khlong Toei,13.73782,100.55179,Entire home/apt,1490,5,11,2018-07-02,0.15,1,16,0
54,1028469,One Bedroom Suite- WIFI- SATHORN,2148220,Marvin,Sathon,13.71602,100.52663,Private room,2696,1,0,,0.0,3,356,0
55,1028486,STUDIO RM2 - WIFI- SATHORN,2148220,Marvin,Sathon,13.71798,100.52841,Private room,1736,1,4,2014-11-12,0.04,3,356,0
62,313459,One Bed Room at Sukumvit 50 Bangkok,1611711,Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226,1,0,,0.0,1,364,0
65,320014,2-BR condo near BTS on Sukhumvit Rd,843854,Anshera,Khlong Toei,13.7281,100.57318,Entire home/apt,1732,30,67,2022-09-20,0.51,1,167,1
69,384924,Oasis in the heart of Bangkok,1667508,Siriwipa,Ratchathewi,13.74902,100.55652,Entire home/apt,866,90,94,2022-08-31,0.75,1,142,1
73,385130,❂Citycenter✔Subway station✔Private Bathroom4Aircon,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,396,2020-04-30,3.02,37,361,0
78,1079039,Spacious 1Bed apartment,5935474,Tisa,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,,0.0,1,180,0
81,397449,Cozy Studio Apt near Skytrain.(72/74),263049,Tor,Sathon,13.71782,100.51622,Private room,950,1,39,2022-10-01,0.3,7,301,2
82,405662,"Asoke: tasteful, modern 1BR condo",1425515,Peter,Vadhana,13.73816,100.56495,Entire home/apt,1400,28,32,2022-10-31,0.25,2,120,5
83,1088343,"2 bed 2 bath, BTS, Supermarkets, Monthly",5981006,Sibyl,Vadhana,13.7104,100.60171,Entire home/apt,2355,30,19,2020-01-04,0.17,1,356,0
85,1961981,S1 hostel (Dorm) Sathorn Bangkok,10138065,S1,Sathon,13.72157,100.54509,Shared room,330,1,82,2019-12-09,0.83,3,358,0
86,407381,3 minutes walk to Phrom Phong BTS,1463818,Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3740,7,18,2022-09-14,0.15,1,44,1
89,413824,❂100% Private&Central Light EnSuite,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,325,2020-03-14,2.67,37,358,0
97,432004,STUDIO-WIFI-RAIN SHOWER-SATHORN,2148220,Marvin,Sathon,13.71922,100.5255,Private room,1736,1,14,2017-02-23,0.12,3,356,0
107,1986193,Condo QUATTRO @Thonglor Near BTS,10246374,Arika,Vadhana,13.72873,100.58039,Entire home/apt,2000,7,6,2022-12-16,0.05,3,62,1
108,2018775,Big quiet Studio for weekly monthly long term Stay,7454779,Lily Duangdao,Sathon,13.720317,100.54586,Private room,1629,4,4,2022-10-23,0.7,7,82,4
109,2064413,BH : Double Room - Near BTS,8664261,Kriengkrai,Sathon,13.71659,100.51588,Private room,835,1,0,,0.0,7,365,0
110,2065054,Suite with Balcony,8664261,Kriengkrai,Sathon,13.71655,100.51384,Private room,926,1,1,2019-04-13,0.02,7,365,0
111,2065536,Room + Shared Shower Room near BTS,8664261,Kriengkrai,Sathon,13.71496,100.51406,Private room,866,1,0,,0.0,7,365,0
112,2065699,BANGKOK HUB Studio Room+Shower Room,8664261,Kriengkrai,Sathon,13.718,100.51573,Private room,650,1,0,,0.0,7,365,0
113,2067731,BANGKOK HUB : Standard Double Room,8664261,Kriengkrai,Sathon,13.71662,100.51572,Shared room,866,1,2,2019-01-01,0.03,7,365,0
129,605343,✬Sweet Dreams in the Center of Bangkok@Sky House✬,1927968,Evan,Sathon,13.72062,100.54709,Entire home/apt,693,1,224,2022-12-13,1.84,37,349,4
137,722291,"1 bedroom apartment, Center Bangkok",1810415,Egidio,Sathon,13.72109,100.53915,Entire home/apt,1212,300,35,2022-06-17,0.31,3,271,3
140,722660,"Bangkok View, Luxurious 1 bedroom,Sathorn.",3734436,Chok,Sathon,13.70644,100.52544,Entire home/apt,1212,21,0,,0.0,2,365,0
145,723070,"One Bed apartmentm,The Seed Mingle condo, Bangkok",3734436,Chok,Sathon,13.72075,100.53993,Entire home/apt,1558,21,2,2018-12-05,0.04,2,364,0
147,2084034,Unique 2 bd-apt right above pool,10297749,Tash,Vadhana,13.73332,100.57099,Entire home/apt,2220,21,58,2022-11-18,0.53,2,346,2
149,1296322,Mini chic Apartment -BTS S Taksin,2129668,Wimonpak,Sathon,13.71425,100.51332,Entire home/apt,703,1,206,2022-12-14,1.79,41,355,6
150,736372,Luxury Condo @ The Heart of Bangkok,3843977,Marc,Vadhana,13.74283,100.58651,Entire home/apt,1974,180,0,,0.0,1,365,0
151,1302302,2 Bed Serviced Penthouse SkyVillas,6132593,Salvatore,Sathon,13.72027,100.52851,Entire home/apt,3757,2,135,2022-11-11,1.19,7,144,3
152,1316688,Contemporary Modern Duplex - Thonglor,5394070,Eva,Khlong Toei,13.72242,100.57962,Entire home/apt,1489,30,81,2022-10-07,0.72,1,0,3
155,1338281,Loft Studio 6 min BTS Sapan Taksin,2129668,Wimonpak,Sathon,13.71506,100.51319,Entire home/apt,1100,100,117,2019-05-30,1.02,41,365,0
156,1338489,FABB Modern 4. BTS Sapan Taksin,2129668,Wimonpak,Sathon,13.7133,100.51337,Entire home/apt,1100,1,146,2020-03-02,1.27,41,167,0
160,742693,New & Nice 1 Bed Apt Thonglor BTS,3888806,Nulek,Khlong Toei,13.72062,100.58019,Entire home/apt,1732,2,0,,0.0,1,347,0
163,768019,Luxury 2BR Pool Villa /Cul-de-Sac (4 weeks +),2975807,Ingo,Vadhana,13.73668,100.56693,Entire home/apt,4156,28,4,2015-08-11,0.03,2,271,0
165,808870,Chambre privée en condominium,4255924,Arnaud,Khlong Toei,13.73684,100.55488,Private room,1500,7,0,,0.0,1,365,0
169,1341890,"MODERN STUDIO SKYTRAIN, WIFI, 40%Monthly Discount!",7278395,Niramol,Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,53,2022-12-06,0.46,8,127,7
173,851956,Great bright&spacious 1B BTS Onnut,4100838,Siri,Khlong Toei,13.70486,100.60152,Entire home/apt,850,21,33,2022-10-23,0.28,3,294,1
175,1350390,3.Cool Chic apartment walk 5 min BTS Sathon,2129668,Wimonpak,Sathon,13.71628,100.51238,Entire home/apt,950,1,109,2022-11-21,0.95,41,358,5
176,852063,2BR Apt. near Sathon Silom-free WIFI,4396467,Sujin,Sathon,13.71972,100.54924,Entire home/apt,1693,30,25,2022-12-03,0.21,2,176,4
